Blog	four	looking	second	here	kids	k	music	until	example	want	feature	wrong	series	re	wasn	service	person	came	saying	best	asked	much	life	worked	things	had	easy	possible	right	old	people	continue	support	happy	inside	later	team	love	working	following	awesome	such	data	years	course	didn	internet	million	quite	open	city	future	note	take	going	where	many	wants	photos	former	technology	being	around	world	power	industry	favorite	her	complete	am	having	tv	th	large	small	past	full	hours	social	via	company	learn	huge	its	entire	always	found	really	try	obama	also	play	plan	sometimes	set	see	project	movie	available	last	let	whole	blog	recent	amp	couple	d	by	anything	into	link	line	posted	up	us	customers	ago	age	results	video	great	makes	tools	next	process	high	perfect	doing	could	david	start	lot	face	fact	should	hope	means	stuff	email	ve	off	less	web	five	become	does	monday	announced	told	search	work	interview	after	order	office	then	them	network	another	john	do	away	voice	hand	photo	thanks	night	security	marketing	post	months	way	update	together	guy	change	live	write	product	use	still	now	drop	year	space	shows	care	couldn	yourself	ways	than	online	only	between	article	these	media	thinking	real	read	early	using	business	aren	trying	building	since	month	very	learned	family	put	takes	site	tried	help	soon	actually	food	reason	ask	american	miss	mobile	clear	latest	pretty	during	x	close	won	probably	both	battery	else	look	while	used	march	game	popular	some	run	similar	doesn	go	facebook	started	point	links	including	keep	art	long	need	based	she	key	problem	well	page	twitter	home	he	piece	star	friends	companies	likely	even	tips	ever	never	call	tell	movies	give	amazing	answer	before	better	weeks	went	side	mean	content	isn	matter	don	m	stop	bad	said	against	appeared	three	if	make	left	human	yes	yet	deal	down	daily	finally	did	visit	making	may	man	maybe	talk	nbsp	group	interesting	thing	think	first	little	anyone	were	especially	show	behind	get	enough	reading	across	according	those	different	same	running	money	either	users	videos	youtube	again	important	forget	public	two	share	needs	coming	through	good	everyone	house	hard	idea	done	least	part	b	click	build	tool	most	services	find	please	simple	create	fun	itself	yesterday	big	bit	google	often	back	single	others	control	stories	ll	day	text	taking	value	almost	com	thought	add	works	happens	buy	minutes	special	original	every	school	york	would	phone	me	my	times	end	over	writing	each	got	free	wanted	days	already	top	too	took	though	watch	report	news	been	several	able	everything	head	check	no	cool	posts	says	goes	water	today	local	information	happened	name	turn	place	given	white	any	sure	state	review	come	case	myself	someone	week	without	seems	there	program	far	list	design	version	known	rather	short	might	number	health	feel	story	kind	nothing	his	him	wrote	user	c	reasons	questions	question	called	say	nice	once	issues	heart	app	few	something	six	instead	related	our	their	which	who	why	words	view	job	april	will	gets	other	know	because	getting	own	apps	made	whether	book
mezzoblue	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	1	1	0	0	0	2	0	1	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	1	0	0	5	1	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	3	0	0	1	2	0	0	0	0	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Eschaton	0	0	0	1	7	0	1	0	0	0	0	0	0	2	0	0	0	1	0	1	0	4	0	0	3	1	0	0	1	2	8	0	0	1	0	1	0	0	0	0	0	0	0	1	2	0	0	1	0	0	3	1	0	0	1	0	0	0	0	0	0	3	1	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	3	0	0	0	2	0	0	1	0	0	0	0	1	0	3	2	0	2	1	0	1	2	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	3	0	0	0	3	0	2	0	1	0	0	0	0	0	0	1	0	2	1	0	2	0	0	2	0	1	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	1	0	3	1	0	0	0	1	1	0	1	0	0	0	0	0	0	8	2	0	0	1	0	0	0	0	0	0	1	4	1	1	0	0	1	3	0	0	1	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	2	1	0	0	0	0	0	1	2	2	0	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	1	0	1	5	2	0	0	1	2	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	1	0	1	0	2	0	0	0	0	0	1	0	1	0	0	0	1	0	3	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	2	0	1	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	1	0	2	0	0	1	1	0	0	0	7	4	1	0	0	0	0	3	0	0	3	3	1	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	2	0	0	0	0	2	5	1	4	1	0	0	0	0	5	1	2	0	3	4	0	0	1	0	0
PerezHilton	0	1	0	2	1	0	2	0	0	2	0	0	2	2	3	0	1	0	0	1	0	0	1	0	2	2	0	0	0	9	0	0	2	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	1	0	0	2	0	0	1	1	0	0	0	1	0	0	0	0	15	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	1	1	0	0	2	0	2	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	2	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	9	0	1	0	1	0	0	0	0	1	2	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	1	0	8	0	0	1	0	0	0	2	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	2	1	3	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	1	1	1	0	0	0	3	0	0	0	0	1	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	1	2	1	0	0	0	1	0	1	0	2	1	3	0	2	0	0	0	0	0	1	0	2	2	7	1	0	0	0	0	0
Slashdot	0	1	0	2	2	2	0	2	0	0	1	0	0	2	0	3	0	4	0	0	1	2	0	0	0	2	0	1	0	0	5	1	10	0	1	0	1	0	0	0	0	1	2	2	1	0	2	0	1	1	1	0	0	1	1	2	5	0	0	1	8	0	1	0	0	4	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	7	1	1	0	2	0	2	2	2	5	0	1	1	1	0	0	4	0	0	1	1	0	0	0	14	0	3	0	3	0	3	0	0	1	1	1	5	0	1	0	2	1	1	0	0	2	0	1	0	0	0	1	0	0	0	0	1	1	5	2	3	1	0	0	3	0	0	0	0	3	0	0	1	2	1	2	1	3	0	0	0	0	0	0	3	0	1	0	1	0	0	0	1	0	1	0	2	1	7	0	3	2	1	0	0	0	1	5	0	2	1	4	2	1	0	0	17	0	3	0	1	0	0	1	1	2	0	0	1	0	2	3	0	0	0	0	1	1	2	0	3	2	1	0	3	0	1	0	0	3	5	0	0	2	4	0	0	0	2	1	2	0	0	0	0	1	0	0	1	0	2	2	0	2	2	3	1	0	0	0	6	0	0	0	1	0	3	0	2	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	3	0	7	0	0	1	4	1	0	3	1	0	3	4	0	0	1	0	1	2	3	0	0	0	0	1	0	0	5	1	1	9	0	3	0	2	0	0	0	1	2	0	0	0	5	2	2	1	4	0	1	0	1	4	0	0	2	1	0	0	1	1	1	0	0	0	0	0	2	1	3	2	2	0	0	0	0	0	0	1	0	7	1	1	3	1	1	0	0	1	1	0	0	0	1	1	1	0	0	1	0	0	1	1	0	1	3	3	0	0	5	4	5	0	1	0	2	0	0	2	0	1	1	1	0	2	0	3	0	1	0	0	0	0	0	0	3	0	0	2	1	0	0	0	0	0	0	0	2	0	3	0	2	0	0	0	1	3	0	4	2	1	0	0	0	1	0	0	1	2	0	1	15	1	0	0	0	0	1	4	1	0	0	1	1	0	0	0	0	2	1	0	0	1	1	0	3	4	2	1	0	0	1	0	6	0	4	0	1	1	3	0	3	1	0
Matt Cutts: Gadgets, Google, and SEO	0	0	0	2	0	0	0	0	2	0	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	1	2	0	0	0	0	0	2	0	0	1	3	1	0	1	0	0	0	2	0	0	1	0	0	1	0	0	0	2	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	6	1	0	4	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	0	0	0	0	1	5	0	0	1	0	1	0	0	1	2	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	3	0	0	0	0	0	0	1	1	0	5	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	1	0	0	0	0	0	12	1	0	0	0	0	0	0	0	0	4	3	0	0	0	0	1	0	0	2	9	1	1	1	2	0	0	0	0	2	0	0	1	0	0	1	0	1	3	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Gothamist	2	0	0	5	1	0	0	1	0	0	2	0	1	1	1	0	0	1	0	3	0	1	1	1	2	2	0	0	0	4	0	0	0	0	3	0	0	0	0	1	0	0	0	4	1	0	0	0	0	0	3	0	0	0	0	3	3	0	2	1	0	1	1	0	0	0	1	0	0	0	0	0	3	3	0	1	0	0	0	0	0	0	0	3	0	2	0	1	0	0	2	0	0	0	0	1	0	0	0	5	1	0	0	1	0	2	2	3	0	3	0	0	0	5	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	2	0	1	0	1	0	0	1	0	0	6	0	0	0	0	2	1	1	0	0	0	0	0	0	2	2	0	3	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	2	0	2	0	0	1	2	2	1	0	2	0	0	2	0	2	0	0	0	0	1	0	2	2	4	0	0	1	0	0	4	0	1	0	1	2	0	1	0	0	3	4	1	0	2	0	0	0	0	6	0	1	1	2	0	0	1	1	4	2	0	1	1	0	1	0	1	0	0	0	1	2	1	0	0	1	0	0	2	0	1	0	0	0	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	2	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	1	0	0	2	0	0	0	2	0	0	0	2	3	3	0	0	0	3	0	0	0	0	0	0	0	1	0	1	2	2	0	0	2	1	1	2	4	0	2	0	2	0	3	1	3	1	0	1	0	0	0	7	0	0	1	1	1	2	1	0	0	0	0	3	0	0	2	0	0	3	0	0	1	0	0	0	1	0	0	0	2	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	2	0	0	0	3	5	3	2	0	0	0	1	3	0	0	2	2	1	0	0	0	0	0	0
we make money not art	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	5	0	2	2	0	0	1	0	0	15	0	0	0	0	2	0	0	0	0	3	1	0	0	0	1	0	1	1	0	2	0	3	1	1	0	0	0	0	4	1	2	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	3	0	1	1	3	0	0	2	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	8	6	0	4	0	1	0	2	8	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	2	1	0	0	0	0	2	2	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	3	1	2	1	1	0	1	0	0	0	0	1	0	0	3	4	0	1	0	0	0	2	0	2	5	0	6	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	7	0	0	9	2	2	2	0	1	0	1	0	0	0	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	2	1	3	1	1	0	0	0	1	2	3	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	3	0	0	0	0	0	0	2	2	0	1	0	2	0	0	1	0	2	0	0	1	0	1	0	1	0	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	1	0	1	1	2	1	1	0	1	3	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	1	0	0	0	0	0	0	2	4	1	0	0	0	0	0	0	0	1	0	0	3	0	0	0	3	0	1	2	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	8	7	0	3	0	0	0	0	0	4	1	3	2	2	0	0	0	1	0	8
BuzzMachine	0	0	0	7	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	2	1	0	0	0	1	0	0	0	0	8	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	1	1	1	2	1	0	0	1	0	0	0	0	1	0	0	0	3	0	2	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0	1	0	0	0	0	1	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	3	0	0	0	0	0	0	0	1	1	1	0	0	2	0	0	0	0	0	1	2	0	1	0	0	2	1	0	3	1	2	0	1	0	0	0	1	0	0	3	0	1	0	0	0	0	0	3	0	0	0	4	0	0	0	0	0	0	0	0	1	1	0	0	0	0	4	0	0	1	0	0	7	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	0	1	2	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	4	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	0	0	1	1	3	4	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	2	1	0	0	0	1	1	9	1	0	0	0	0	0	1	0	2	21	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	2	1	2	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	6	0	0	0	0	0	4	0	1	1	1	0	0	0	0	3	2
Techdirt.	1	7	5	15	2	0	2	3	5	8	0	7	0	13	4	14	11	5	10	4	7	16	5	2	7	33	4	7	5	2	31	3	10	1	0	4	4	2	2	3	3	10	6	23	9	11	15	2	4	2	1	3	3	10	11	10	10	0	6	3	3	13	6	7	9	6	0	1	6	0	3	2	9	1	8	3	14	2	10	5	14	2	2	39	6	3	5	8	0	2	25	1	4	0	6	10	0	0	5	13	3	3	4	7	2	1	9	67	6	15	2	4	8	25	5	0	10	5	4	4	2	5	0	5	5	2	1	5	19	2	4	8	3	9	10	1	2	4	28	8	8	2	3	3	2	8	0	4	9	1	6	5	20	8	4	11	13	3	16	2	21	4	0	2	10	1	2	5	0	10	3	16	1	1	2	2	0	3	0	9	15	11	0	11	0	3	4	2	2	6	18	11	19	6	0	24	10	1	0	2	7	13	3	0	4	1	3	1	12	0	1	8	2	13	1	6	3	10	0	5	4	5	0	6	8	6	4	4	0	0	2	2	3	0	3	2	17	12	3	1	3	37	6	2	10	6	2	4	1	1	10	7	0	3	10	6	0	4	15	14	6	4	1	58	2	1	0	4	7	24	0	1	8	5	3	1	5	1	2	8	3	1	4	6	4	12	9	5	12	9	4	11	17	16	1	4	35	10	4	3	3	6	7	15	4	6	13	0	5	15	1	1	4	0	9	3	12	3	15	5	2	17	1	5	4	9	3	1	1	3	14	3	7	1	4	5	13	0	1	5	5	0	25	9	0	4	0	5	15	6	1	2	4	2	4	9	5	0	0	0	18	7	7	0	1	2	2	3	1	3	1	5	4	6	9	6	3	1	9	4	0	4	1	5	3	2	0	2	1	2	1	3	2	10	0	3	38	0	12	11	1	7	18	2	4	5	3	2	3	5	3	9	6	6	1	3	5	38	2	9	4	4	2	26	4	0	4	0	0	3	0	14	1	4	1	17	5	0	20	4	7	8	2	8	0	7	16	10	9	30	7	8	4	3	4	7	12	1	5	5	1	2	31	2	9	51	14	4	2	8	3	2	6	4	4	1	4	6	1	0	13	14	4	8	3	20	31	31	38	7	1	1	2	5	24	2	19	7	23	5	7	1	6	12	0
Little Green Footballs	2	0	0	3	0	0	3	1	0	0	0	0	0	1	0	0	0	0	1	1	2	3	0	1	0	1	0	0	9	2	5	0	0	0	0	0	0	1	1	1	1	1	0	5	1	0	0	0	0	0	0	0	0	1	2	2	3	0	0	4	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	2	0	3	0	0	2	4	0	3	0	0	1	4	2	0	0	1	1	1	2	9	0	1	0	2	2	2	1	0	1	0	0	4	1	1	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	2	2	0	1	0	0	2	0	2	0	0	0	3	2	1	0	2	2	1	1	2	4	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	1	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	2	0	3	0	3	0	0	0	0	0	0	0	0	1	0	1	7	0	1	1	0	2	0	0	0	0	0	0	0	1	0	0	0	3	2	0	0	0	0	0	0	0	0	0	2	0	3	0	0	2	0	0	4	0	3	1	0	0	0	0	0	1	0	1	0	0	0	1	3	3	2	9	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	3	1	1	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	4	1	1	0	2	0	2	4	1	0	0	2	0	5	0	1	0	1	0	0	1	0	0	1	0	0	0	0	11	1	0	0	0	4	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	5	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	5	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	1	2	0	0	1	0	0	1	0	0	0	0	0	2	1	1	4	1	0	1	2	1	5	0	0	0	1	3	5	0	0	0	0	0	0	0	4	2	0	3	2	1	0	0	0	1	1	0	2	0	0	0	0	0	2	0	1	1	0	0	1	3	0	1	9	2	0	0	5	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	6	4	1	3	1	0	0	0	1	3	1	0	1	2	1	0	0	1	0	0
Joho the Blog	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	3	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	0	0	0	0	1	0	0	0	0	1	1	10	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	5	0	10	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	1	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	5	3	1	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	1	0	2	0	0	3	0	0	1	1	0
ongoing by Tim Bray	0	0	0	7	0	2	0	0	0	2	0	0	0	14	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	4	0	4	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	1	0	0	3	0	0	0	0	1	0	1	1	0	0	0	0	0	2	1	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	2	0	0	1	0	4	2	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	2	1	0	0	4	1	0	0	0	0	1	0	0	1	0	0	2	0	0	0	1	1	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	4	1	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	9	1	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	3	1	1	0	1	1	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	4	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	4	4	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	1	0	1	0	0	0	2	0	1	0	0	2	0	0	2	0	0	2	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	2	0	0	2	0	0	0	1	0	0	4	0	1	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	1	2	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
